Callsign,Origin,Destination,Aircraft
,AZI,GSM,B77W
,AZP,MEX,Unknown
,KLD,LED,B738
,KDL,TLL,A320
,BLQ,MUC,E195
,VRN,VBS,P28U
,MVV,CVF,AS50
,CDG,BLL,E190
,TNF,AVN,TBM8
,SPJ,KIT,A339
,LAI,ORY,Unknown
,MUC,CQM,C55B
,BFS,LGW,A319
,IVG,LTN,A21N
,TGM,CWC,A321
,BLL,CPH,AT76
,ORD,SFO,A359
,ANK,ESB,A321
,MIR,IST,B38M
,IST,BOM,B77W
,GZP,AYT,A20N
,MAD,STN,B738
,NWI,BHX,B738
,BEM,VLC,B38M
,SBZ,STN,B738
,LTN,SZG,CL30
,BBM,ZUH,A319
,KMJ,ICN,B738
,SIN,OKA,A21N
,SIN,AGJ,B78X
,FUO,RJH,B77W
,HKG,SZX,A20N
,HKG,SUP,A21N
,BEO,MTL,C172
,GJR,BUS,A35K
,TKS,KKJ,CRJ7
,TAK,HNA,B738
,HNA,CTS,B763
,AUH,MEK,B772
,CMB,SHJ,A320
,POV,ZUH,B789
,CCB,MYF,C82T
,BRD,STC,SR22
,AFW,TRL,C172
,HLC,LAX,B763
,MCE,RWL,C425
,MVN,UIN,M20P
,TMB,OBE,P32R
,MNZ,GVE,AA5
,IST,IAD,B788
,EDE,AXX,C501
,MFE,CXO,E55P
,BUF,ORD,E75L
,ALI,HOU,B350
,ECP,BTR,BE36
,OPF,MMN,CL60
,EWR,GAG,B39M
,LGA,MIA,A321
,RFD,PDT,B763
,ROG,BVO,S22T
,TUS,IAD,B739
,SHD,DAY,CRJ7
,BXS,SBA,DH2T
,AFW,FWH,C152
,HUF,DPA,P28A
,EDC,SAQ,CL60
,PIE,SRQ,P28A
,IWS,FYV,SR22
,PBI,BZN,C68A
,GWS,LAX,Unknown
,CLT,HSV,CRJ9
,DUC,PWA,C172
,SEA,DRU,E75L
,TWF,PHX,PC12
,CTH,SRQ,PC12
,HMT,RBK,R22
,EWR,PBI,A320
,OCF,BCT,CL35
,LIT,HSV,H25B
,PWA,PRX,S22T
,VRB,MAF,E55P
,ARE,SJU,PC12
,BLD,HSH,EC30
,PVU,SLC,C182
,BOI,PTT,E75L
,PBI,DAG,GLF4
,BIX,MSY,B38M
,RDU,ATL,B739
,PTW,MSV,PA24
,HII,DFW,B738
,JVL,TBI,C25B
,RBW,NIP,BE40
,GVA,YTM,F900
,YVR,OGG,B38M
,GAB,YVR,CL35
,OBE,YVR,E295
,POJ,GRU,A320
,CGB,AZL,PAY3
,JLA,SXQ,Unknown
,TRL,GVT,Unknown
,TOA,BXS,Unknown
,RNO,CSN,Unknown
,HLI,WVI,Unknown
,GHC,FXE,PA27
,BJC,EWB,H25B
,LED,TLL,B738
,TNF,AVN,Unknown
,CDG,STR,E190
,LIN,GOA,PIVI
,ORY,PTP,A332
,MAN,PRG,E35L
,ZHI,TMB,E300
,BER,FCO,A319
,MMX,FMO,SB20
,AMS,ZRH,B738
,CHR,HTY,A332
,PLS,NCE,GLEX
,ANK,AMM,A320
,REG,TIP,B38M
,BUS,IST,A21N
,YEI,BZI,B38M
,MAN,GOT,B738
,OPO,FAO,B738
,LTN,STN,E550
,NRT,XSP,GL7T
,ERC,ERZ,A320
,MXP,ALG,IL76
,AQJ,IXG,A20N
,RSU,CHF,A321
,MYY,MUR,AT75
,SZB,KUL,A20N
,NRT,SIN,B78X
,TNA,PEK,E190
,SWA,TOD,B738
,BUS,SZX,B788
,HDG,SZX,A333
,PEK,CDE,A21N
,SZX,HUZ,C919
,HKG,NGO,A21N
,WTB,XTR,DA40
,MBW,SXE,BK17
,ARY,SHT,C182
,BNE,CUD,G2CA
,GOO,SHQ,SR22
,MTQ,BNE,E190
,VAS,RNM,B789
,MEL,SYD,DH8D
,VGA,BLR,AT76
,AOY,DEL,A359
,NGO,MYJ,B738
,FUK,ITM,C510
,SIQ,CGK,B735
,APF,RBW,C680
,CLD,PWA,PC12
,RSL,LAX,A321
,GWV,HKS,C172
,SDX,CTW,C82S
,SJU,MHH,B763
,PAO,SCK,C152
,KNK,ANC,SW4
,SLC,PHK,GL7T
,SAF,APA,PC12
,BXK,CTW,PIAT
,BED,TEB,GLF5
,MNZ,CDD,CL30
,FMY,IMM,R44
,SDM,AZA,BE58
,CGF,PBI,E545
,ANC,OCN,BCS3
,PTP,ORL,C25B
,AFW,LAL,B763
,MCO,LNK,B739
,RBM,AGB,M20P
,PHX,SNL,A21N
,HUF,LAF,SKAR
,JLN,ORD,CRJ2
,JAC,SFH,E55P
,VNY,MYF,M20P
,MIA,AFW,A321
,HIF,POY,E75L
,BCT,BDL,E550
,PNS,DFW,CRJ9
,SLC,PDX,E35L
,MTJ,SAN,B739
,CWX,DMA,Unknown
,ORD,OOA,B739
,PAE,PWT,AA5
,BNA,ATL,C25B
,CLG,PRB,C182
,PSC,LGD,C172
,PHX,MYH,B737
,EGE,HOT,A319
,DFW,ORD,B789
,INW,LAX,B739
,MKO,SLG,C172
,HUM,BOI,B38M
,DWH,OUN,P32R
,SCF,BGT,E145
,MLI,DNL,CRJ9
,FTY,NHX,BE36
,MOR,EVV,SF50
,CUB,CLT,E145
,RBF,VNY,SLG2
,LKK,MRI,BE20
,GGG,END,TEX2
,YOW,YQM,DH8D
,NPE,AMZ,T6
,CHC,ZQN,AT75
,TFL,GRU,A320
,WWA,PAQ,Unknown
,NOT,APC,Unknown
,SLE,HIO,Unknown
,JSH,SPJ,A20N
,ORY,RBA,B738
,NBJ,GIG,B77L
,MUG,CEN,A320
,GYM,SFO,B738
,VLC,GOT,E190
,LBG,CMF,E55P
,XSB,FRA,A333
,FRA,BIO,A321
,SPU,LGW,A320
,JER,OXF,PC24
,BER,VIE,A320
,CEQ,VLC,C510
,LGG,AHN,B744
,ANR,GOT,A319
,ALG,EBH,A320
,GOT,OSL,A321
,TGD,TIA,A321
,ARN,AMS,B738
,AMS,PRG,B737
,LIN,BZO,SF50
,BOM,IST,B77W
,LCA,IST,A21N
,ERZ,CCE,A20N
,KEF,RST,CL60
,LGG,MXP,B738
,DWC,HKG,GLEX
,MLN,VLC,AT76
,BXJ,ALA,B38M
,PUS,CHF,A21N
,BND,SYJ,B735
,BKI,MYY,AT75
,CEB,MNL,A320
,SIN,GET,B78X
,CMJ,HKG,A21N
,AVV,HLT,SLG4
,DBO,WWY,SR22
,SHQ,BNE,CH7B
,MEB,MBW,G2CA
,CBR,ADL,DH8D
,SBZ,LVP,A359
,KMI,HND,A21N
,NRT,HDH,B763
,ITM,SHM,DH8D
,SQL,SCK,RV14
,ATW,ANW,E55P
,VYS,COS,A21N
,MEV,PHX,SR20
,MIA,PMH,A321
,NAS,OPF,C560
,GTG,FSD,BE20
,MZJ,CGZ,PA32
,ADS,IWS,C182
,SYR,MSY,BCS3
,IMM,COI,C172
,CTY,ORD,B38M
,XSC,ZPH,B738
,LAS,MSC,C550
,URO,OXF,S22T
,SZP,SFO,B38M
,DBS,YEG,E55P
,HCC,BNA,GLF4
,FXE,ORL,P28A
,RNH,OEO,C172
,DEN,LGA,B38M
,LAX,HLC,B753
,MKK,HNL,C208
,MMT,BGE,C68A
,DAY,TUL,CRJ9
,SEA,ICT,E75L
,SJC,RHV,M20P
,APF,AUS,E55P
,APF,DPA,G280
,CAK,CLE,H25B
,ISM,PBI,C56X
,DPG,PVU,C172
,VPZ,GYY,C172
,MAW,OMA,PA44
,TYS,MPJ,M20P
,YNH,ICN,B77L
,GAD,DCU,TBM7
,BTR,MSC,Unknown
,ATL,YEL,A333
,FMY,STE,TBM8
,AMA,SLC,B739
,BLU,APA,B38M
,EPG,CTY,B38M
,SRQ,BUF,B38M
,EWN,DFW,B738
,SQA,SBP,BE33
,SDU,SNZ,G150
,RBF,FUL,M20P
,ARW,HHN,C17
,TIJ,SEE,EC45
,YQB,YSC,Unknown
,YWA,YOW,E295
,SAB,PAV,ASTR
,TYT,JHF,GL5T
,QRC,SCL,PC12
,DVT,CTW,Unknown
,ESO,SAF,Unknown
,SFN,FLM,B39M
,AZP,MEX,B738
,KUT,SUI,SU95
,MXP,PRG,A320
,DUS,MRS,A321
,AGB,FEL,C172
,BER,ACH,C25A
,HAW,WIC,BE20
,BCN,LIL,C25C
,HEW,ATH,PRM1
,CRA,BEG,A321
,LBG,GVA,F2TH
,DWC,WMI,CL30
,SFO,BKK,A359
,GVA,NAP,A320
,BLQ,HKG,B744
,OTP,YEI,A320
,ESB,IST,A321
,TEQ,HOA,B38M
,BER,WFD,B38M
,SNZ,FLN,A320
,CCE,MCT,A338
,PUS,NRT,B738
,RXS,DVO,A320
,ICN,SIN,B78X
,FUO,MFM,A320
,HDG,PKX,B77W
,PHY,KKM,A20N
,HKG,MZG,A21N
,BNE,TWB,AC11
,CYG,MEL,A332
,BWU,CDU,SLG4
,AVV,BXG,FOX
,BLH,PHX,A332
,BKK,TPE,A321
,KWJ,LYP,A359
,SIN,PGK,A321
,NTD,RND,C560
,ATL,OWD,A321
,MIA,MHH,B763
,DOM,GBJ,E145
,SGR,IAH,E45X
,DEN,ORD,Unknown
,BJC,LAA,S22T
,FWA,BOI,HDJT
,STS,SRF,E75L
,ANC,MIA,B763
,PDK,VDI,SR22
,RNO,ODC,BE58
,BNG,NTD,C172
,SGU,PVU,PC12
,RIV,SNA,BCS3
,RZZ,RAC,BCS3
,SMF,ABQ,E75L
,OKC,ICT,C185
,MPS,ADS,C182
,HII,CVG,B763
,CNW,PWA,SS2P
,IRK,ORD,CRJ2
,HSV,TEX,E55P
,PAH,DCA,B737
,BFM,YYZ,GLF4
,BIL,BIS,P32R
,GYR,LUF,SR20
,CLW,DSI,S22T
,DAB,CPS,G280
,TIJ,MUG,A320
,SBY,NGU,CRJ7
,BQK,OXC,PC12
,CLT,DFW,A321
,HTW,LUK,SB20
,VNY,SMO,SONX
,GNT,CLL,C560
,MSP,CLT,CRJ9
,SFO,BOI,E75L
,RMY,MXO,B739
,MIA,EZE,B77W
,APC,LMT,CL35
,SZP,VNY,SLG4
,CHO,AUS,C68A
,CCR,HIO,GL5T
,SLB,SBP,A319
,DEN,DDC,E75L
,CID,BNA,B38M
,ROC,DTW,CRJ9
,BNA,GHM,B407
,LBB,REE,B407
,BIX,AVL,B739
,SPI,GUC,B39M
,PTN,MIA,B738
,ORK,BUD,C17
,YOW,OBE,C25B
,YFE,YBG,BE10
,YYZ,PBI,CL30
,YWG,YSB,SW4
,SBA,YVR,B38M
,ELM,YYZ,E295
,HLZ,TKZ,Unknown
,IMP,TUR,C55B
,MXU,CNN,B77L
,PCH,CDD,B738
,MVD,LAX,B39M
,NLU,GYM,A320
,AVN,OBS,P28A
,BIQ,BIO,E190
,LIL,GMD,FA8X
,FDH,DEB,DH8D
,ESH,LEH,DA62
,SIR,VIE,P46T
,TIA,PRN,A320
,LFM,DEL,B789
,SBZ,BBU,S22T
,ARN,HAD,AT76
,ALA,DJE,B38M
,SAW,ESB,A20N
,SAW,ISL,CL60
,STN,FMM,B738
,TEQ,BUD,E35L
,OSN,ICN,B38M
,TLV,HSK,B738
,SIN,KTE,A21N
,OMF,DAM,A320
,BFV,ZUH,A321
,CNI,HDG,A320
,MFM,HUZ,B738
,DLC,HUZ,A20N
,HKG,MFM,A21N
,PER,SQC,SW4
,MBW,HLT,C182
,GUL,MCY,S22T
,MEL,LAX,B789
,CCU,NDC,A21N
,KIX,TKS,E170
,NGO,KMJ,A320
,KMI,SDS,B738
,TSA,BKK,A321
,SYD,MEL,A359
,DWC,LVP,GLF4
,SXI,DXB,B738
,JAR,CDP,A320
,DPS,CGK,B739
,PIT,IAH,E45X
,PHL,ORL,TBM9
,DFW,MRF,A321
,NRI,FSM,PA32
,ERV,SAT,BE58
,AUO,OCF,SF50
,SLN,BIE,M20P
,BID,PGD,A320
,TPH,RRL,B739
,JFK,LAX,A21N
,HPN,OXC,GLF6
,MSC,PRC,P28A
,PBI,ATL,A321
,FSD,DFW,BCS3
,IAD,ALO,E75L
,BOS,ORD,E75L
,SGU,PVU,K900
,IAH,DFW,B737
,PMD,SZP,C180
,PHL,STN,B763
,PNX,PWA,RV6
,TEB,LXV,CL35
,BCT,HHH,BE36
,DAG,SEA,A332
,VKS,TEB,GLF5
,PUW,RDM,B58T
,TCL,GAD,SR22
,FDK,BUF,E545
,FRG,IND,LJ60
,MDW,APF,B39M
,APF,FCM,C56X
,NHT,GCI,S22T
,FNL,BJC,C172
,ORD,DEN,B753
,STS,IZT,CL35
,SYI,MQY,DA40
,OPL,BTR,B407
,GBD,LYO,AA5
,ORL,MCO,B753
,MCC,BAB,C172
,WJF,VNY,S76
,GLS,PNX,PA32
,SAV,ORD,E75L
,TPA,STL,B737
,PBI,ENW,C750
,ICT,APF,C25B
,OTP,JFK,B789
,UOX,LVS,C56X
,SNL,ACT,CRJ2
,CDG,OKC,B77L
,ORD,CFD,B38M
,WIL,NBO,C208
,JFK,MIA,A319
,CLT,FKN,E145
,ASE,ASU,GLF4
,SUS,ALN,M20P
,DJN,FBK,C180
,FLG,CTW,EFOX
,DOV,RMS,C17
,RBW,RME,A321
,YSC,YUL,DH8D
,PPQ,CHC,C172
,CXJ,LAJ,SF50
,MIA,OBE,B789
,MRI,TYE,Unknown
,NOT,SRF,Unknown
,ELT,CCE,CRJ9
,AQJ,SPX,A320
,NYE,AMM,B38M
,SUH,MEL,B77W
,FUO,SFS,GL5T
,RZV,BUS,A320
,VRN,BLQ,A139
,YZU,RUH,A333
,LTN,NHT,H500
,BBP,LTN,A20N
,AMS,HAM,A320
,BLL,AAL,A321
,CSB,OTP,A321
,CPH,BLL,AT76
,ZRH,BXO,BR23
,AMM,QND,A320
,TEQ,OMF,A321
,IST,AYT,B38M
,ECN,ERZ,A20N
,HEL,KRF,CL60
,ORK,EDI,B738
,CMN,NNA,B738
,BBJ,DUB,B38M
,STN,MUC,E190
,HMY,KUV,C172
,PMO,TLV,B738
,MNL,KIX,A321
,OZC,MNL,A20N
,KIX,ICN,B78X
,CAN,TYN,A320
,TNA,TSN,B738
,SJW,TNA,B738
,PHY,TKH,B738
,DOX,PER,DH8D
,DMK,NAK,C130
,DMK,KKM,Unknown
,CCJ,DXB,B77L
,SUH,DXB,B38M
,HIF,BTF,P28A
,FMY,CHA,F2TH
,JFK,RFD,B763
,MYF,SBD,C240
,IAH,ROA,E45X
,CVJ,NLU,E50P
,SCF,TPA,C25B
,BFL,LGB,BE35
,BDL,LCQ,BCS3
,MKE,BNA,E75L
,PSP,VGT,T6
,NTJ,OGD,AA5
,PBI,ANU,BCS3
,MSP,MIA,A319
,PBI,IAD,CL35
,AFW,GLE,R44
,DTW,YIP,A320
,BOS,TEB,HA4T
,BDG,AHC,B38M
,LGA,GCY,B738
,PSP,SMO,Unknown
,TTN,SLX,GLF6
,FAT,FUL,S22T
,MQY,ADR,B737
,PBI,TEB,E545
,SLC,PVU,R22
,CHS,SRQ,SR22
,GRK,ACT,TWEN
,GYM,TIJ,A320
,DAY,ORD,CRJ7
,SEE,SDM,P28A
,BOI,OGD,C560
,DCA,TTD,B738
,HPN,SSI,C68A
,DAL,ONY,CL35
,BOI,BFL,E75L
,CLT,RKH,C172
,BRY,VLD,C680
,USA,SSI,H25B
,APF,LUK,Unknown
,RUT,DXR,BE20
,LBB,SAN,B737
,PHL,MIA,B788
,AUS,LAX,A319
,SNS,SQL,BE36
,EBS,LEM,B739
,JAX,CGF,C56X
,HSH,SNA,SR22
,GCM,FLL,C700
,HYS,ICT,B407
,RBD,NBG,B738
,OXR,TKF,PC12
,GYR,JCT,LJ31
,JFK,SAT,B39M
,LEX,DAL,S22T
,SKW,BVU,M18
,OAK,SLC,EPIC
,ORK,HHN,C17
,LHR,YUL,B38M
,YLW,YKA,B06
,FAR,ADT,C172
,NPL,RAG,A320
,UBT,JHF,BE33
,APQ,CAU,A20N
,RIR,RIV,Unknown
,SUA,FPR,Unknown
,PDK,ATL,Unknown
,RKT,BOM,A320
,CEN,GUB,A20N
,NAP,CDG,E190
,HAJ,DUS,B738
,TLS,CPH,A321
,AMS,LCY,E190
,BZO,WAT,B38M
,STN,GDM,E550
,ANR,BER,A319
,BLL,FAE,A320
,WAW,RDO,A321
,PDL,YTZ,A21N
,GOT,GSE,A169
,BOJ,SUJ,A21N
,BBJ,BHX,B38M
,AQJ,SUH,A20N
,XXN,ELT,A20N
,JAR,KIH,MD82
,SIN,PEN,A21N
,FUK,SIN,B78X
,KTE,SWA,B738
,MFM,TSN,B738
,ZBY,PHY,B738
,TNA,PKX,B738
,SZX,TOD,A20N
,CAN,HUZ,B38M
,VBY,EPU,B77L
,PEK,AYN,A21N
,HKG,DFW,A35K
,MEL,PER,A332
,MBW,AVV,PA44
,BWU,ADL,C550
,WTB,TWB,DA40
,CBR,BNE,C17
,DEL,LKO,B412
,HYD,KJB,B38M
,BDQ,PNQ,GLEX
,CTS,HND,B738
,FUJ,TSN,B763
,DXB,AHA,B77L
,BND,DXB,B738
,DXB,BND,B38M
,SHJ,DEL,A320
,AVP,YZV,B78X
,GRD,SRQ,C650
,MHT,MCO,BCS3
,SXM,PTK,LJ45
,PHX,VNY,SR22
,HIF,OGD,P28A
,ACT,ORL,H25B
,SIV,CHS,B737
,LMS,FLP,E75L
,VHN,LFK,B763
,GDT,CMH,E75L
,RFD,JAX,B763
,ONO,RNO,C182
,SLC,HSB,A319
,TEB,APC,GLF4
,SAN,LKV,B739
,RBK,OCN,C180
,MKL,OCF,BE40
,CHS,SAT,BE40
,ANU,ISM,C525
,RFG,EDC,SR22
,VEL,ROL,T210
,MRF,FYV,C750
,DCA,PCU,B737
,LAL,LZU,BE35
,SPZ,MPJ,C82S
,ACT,ADS,BT36
,DAL,ATW,GLF6
,LIZ,ORD,B763
,PJB,DEN,B739
,OWA,DAB,A21N
,MIA,MDW,LJ45
,VJI,LGA,A320
,MRY,PAO,C182
,BAM,VNY,CL35
,ORD,IAD,E75L
,TLR,MSC,C550
,TEB,FRA,GLF6
,TCB,FXE,C25C
,SAT,IAH,GA6C
,DAB,HWO,T210
,CEW,ETS,P46T
,HVS,USA,B738
,PHL,DUB,B788
,DAL,ELP,B738
,SLC,MSP,B739
,TBI,MCO,B38M
,PDK,MKE,C680
,BJC,FTW,F900
,CLL,DWH,P28A
,PDK,LAL,PA46
,SCF,FLG,C182
,ANC,SEA,B39M
,MLJ,TYS,C82S
,AUS,MRY,F2TH
,CBM,BIX,T38
,LSF,GVL,H60
,HOP,CKV,H47
,CHS,SVN,AS65
,YQT,YTS,PC12
,YOW,OLD,DH8D
,FLL,APQ,A20N
,RAL,SMX,Unknown
,HIO,SLE,Unknown
,RUH,NYE,B38M
,DOH,DIA,A139
,CEN,TAM,A21N
,JSH,CIA,P180
,HOA,KIT,A333
,SEN,MAN,H25B
,LPL,WFD,A20N
,RBM,VIE,P28T
,PDV,PNL,A321
,ACH,BLL,FA8X
,GDN,OSK,A321
,TSN,AMS,B772
,NCE,GVA,PC12
,ARN,RNB,AT76
,BGO,OSL,E190
,ZIN,BRN,C172
,SZY,IST,A321
,MJI,ESB,B38M
,LHR,IST,A21N
,ANK,SAW,A20N
,FCO,MAD,B738
,LPL,BRU,B38M
,DWC,ASV,CL60
,ANK,RBA,A338
,AOY,DAM,B738
,OKA,MKZ,A21N
,MWB,SIN,B78X
,PEK,BOM,B77W
,HKG,PKX,A320
,SZX,TNA,B738
,SJW,PKX,B738
,SHJ,DXB,B738
,HLP,SUP,B739
,HPY,IAH,E45X
,SLC,SNY,BCS1
,ADM,HTV,E75L
,VAP,TLX,B733
,STN,DUB,B763
,BHM,VKS,LJ45
,IAH,RKP,E45X
,CLD,LGB,C172
,DTW,BXA,A306
,ONT,CCB,P32R
,PIE,IND,A320
,SAN,OGG,A21N
,STC,MKC,PC12
,MVM,SFO,A21N
,AVP,WST,BCS3
,CLT,SDF,E75L
,WPO,MTJ,C182
,MIA,TMB,C208
,ERV,SSF,BE55
,NHX,JBR,BE20
,BFL,BOI,E75L
,CLD,IFP,BE95
,BLU,LAX,A319
,BTV,THV,TBM9
,DEN,ACT,A320
,CHS,HKY,C510
,ISM,GIF,C172
,FMY,CNK,A321
,POF,FAM,M20P
,CKB,ROC,E55P
,CCR,UKI,C421
,SVH,HKY,C182
,RCR,TDZ,CRJ7
,LAX,SYD,A359
,TCB,YOO,FA50
,UST,FLL,A320
,LWC,JCI,RV14
,FMY,CHS,C56X
,SFO,APA,CL35
,RVS,ODT,BE35
,PVD,CAK,CRJ9
,OCF,GNV,PA18
,ORF,IND,E170
,IDA,HIF,R66
,DUA,GLE,C152
,MGC,RCR,B739
,ICT,IAB,BE33
,VNY,MXL,C750
,LCK,MCK,LJ35
,EYW,MIA,B734
,FMY,VIH,E55P
,DEN,SJC,B738
,CEU,CHS,C700
,IND,DFW,B738
,SAN,PHX,B38M
,SCF,GSO,C750
,SLC,RNO,Unknown
,CAO,DDC,A321
,RIC,PTB,EC30
,MCO,SAN,B39M
,DAL,NRI,P32R
,GRK,EFD,BE35
,YYZ,YTR,B38M
,YYZ,NEW,GALX
,FLX,MMH,G2CA
,DVT,PHX,Unknown
,SXQ,JLA,Unknown
,AMM,BEY,B38M
,FLM,CDD,B738
,HAJ,FRA,E190
,CEY,CZL,A333
,LCY,EDI,E190
,PRN,RTM,A20N
,TEB,FAB,GLEX
,IOM,CVT,EC35
,FRA,CDG,A320
,ANR,LYS,A319
,SOG,MJF,DH8A
,RAK,JDO,B772
,KTW,PIK,B737
,JAI,DEL,B738
,BMA,VBY,EC45
,LTN,YEI,CL60
,ANR,IST,A321
,HOA,ASV,B38M
,FCO,DIA,A21N
,SAW,ESK,A20N
,FUO,JSR,B744
,KUL,SXV,A332
,MYY,PEN,B738
,TNJ,SIQ,B78X
,FUO,SZX,A320
,OUI,NAK,B738
,PEK,TYN,B77W
,AYN,PKX,B77W
,TNA,TSN,A320
,HDG,SJW,A20N
,BNE,TWB,C182
,NRG,JAD,RV7
,SXE,AVV,PA31
,AOY,BUD,B789
,CTS,SDS,B737
,ITM,MYJ,A359
,TTJ,HND,B738
,NGO,FSZ,B789
,BKK,TVY,B773
,HDG,TYN,A21N
,SOF,SXI,B38M
,TPE,LYP,A359
,DDC,FSU,B763
,HKA,RVS,VO10
,VNY,IRK,GLF4
,RFD,CVG,B763
,ORD,LVS,A21N
,TLC,TIJ,E55P
,SUN,BOI,C182
,MDT,FXE,E55P
,TYS,MNZ,A320
,FTY,BNA,HDJT
,PSB,EVV,B737
,SFO,RDM,E545
,DFW,MLC,E75L
,BGE,CLT,G280
,MMU,HIO,C680
,FLL,LXV,E55P
,BNA,VIH,FA6X
,MQY,CTY,A319
,MKC,APA,C25A
,FLP,JCY,CC11
,MIA,MSP,A319
,IOA,HEW,B350
,MCO,CVG,A20N
,SWO,NRI,SR20
,LHR,VQQ,A21N
,EDC,NTD,C441
,APF,SUS,CL60
,MAE,SBP,RV6
,FBK,TOA,B738
,BJC,THP,GLF5
,TLH,MCO,A320
,DEN,IAD,B753
,TTN,SUA,E550
,DAL,MEM,TBM8
,CSN,EYR,M7
,SAT,OZA,P46T
,GIG,IAH,B763
,SGF,PLK,C182
,YIP,MMU,CL35
,DAB,BNL,BE40
,CMH,IAD,E75L
,SYR,UOX,E170
,DEN,MTO,B738
,PHX,DEN,E75L
,RIR,SLC,B738
,ANC,MEM,B77L
,LAS,FLG,B738
,SNA,STJ,LJ45
,GUP,GLD,B38M
,SZL,BNA,B38M
,SUS,IAD,E75L
,DEN,BNA,B38M
,LBL,LAS,B38M
,BOI,SGU,C25B
,HTV,AKO,A319
,CLT,HKY,B738
,HPN,FAB,GA5C
,YEM,SYR,A321
,YYZ,YUL,B38M
,YHU,YJN,PA46
,RAG,HLZ,AT76
,SAO,SJP,PAY2
,JFK,QCP,B789
,ENA,WWA,Unknown
,BNG,NKX,Unknown
,RBK,LGB,Unknown
,PBI,LNA,Unknown
,HOA,RUH,B38M
,STS,SFO,GA7C
,RNM,DXB,BCS3
,MEX,TLC,A109
,AMS,LYS,E190
,TUF,ZAZ,A400
,WAT,MAN,A20N
,EMA,MAN,B738
,EDC,TMB,C510
,NDD,BZO,C560
,RTM,GRQ,SR20
,WAW,GNA,A320
,TIP,MJI,B38M
,FUO,JIW,A333
,IST,GZP,A20N
,XRY,BLK,C25B
,POW,LSZ,B505
,JIW,SUH,A338
,BEK,AOY,A20N
,RNU,BKI,AT75
,DPS,KUL,B738
,PYB,SIN,B78X
,OMR,QPG,A388
,HKG,MNL,B773
,KIX,TNA,A321
,DPS,HKG,A333
,FUJ,YEG,B77L
,TYN,PEK,A320
,OMC,CEB,A333
,BWU,DGE,PA44
,SYD,QRC,B789
,TRZ,TIR,AT76
,BLR,MCT,B38M
,TSA,KIX,A20N
,TNE,CTS,A320
,BKK,GHV,B77W
,KWJ,NAK,A321
,OGU,CYI,B78X
,IXW,DXB,B38M
,SNA,SEA,BCS1
,SZX,KUL,B763
,ASE,AHS,C680
,REO,RBG,K100
,MYF,BNG,AA5
,MAF,MRF,C25B
,AID,ECP,BE58
,CMH,SAV,E75L
,RBD,SLR,RV6
,TEB,BHM,CL60
,PHX,OSU,B737
,LAX,AFO,E75L
,BUF,MZZ,E75L
,THM,LAX,B763
,STS,NOT,BE35
,DTW,RWL,GLF5
,GED,HAR,BE58
,RHV,NOT,PA18
,AUS,EDC,A169
,TPL,BJC,RV10
,ADS,PNX,P28R
,TLH,ATL,CRJ9
,PUB,DEN,B739
,DTW,GRB,A321
,CUS,BFL,E75L
,AZA,CNO,M20P
,PPE,BJC,P46T
,SDF,MSP,B752
,HNL,MKK,C208
,DAL,SNA,CL35
,SSC,SUM,C560
,PRX,MSL,CRJ9
,SFF,RMY,PC12
,IWS,PSX,C82S
,PRB,MIT,C172
,CFQ,IAH,B739
,EWR,MDW,B752
,REE,TDW,TBM9
,ATL,ISM,A321
,PVU,MTJ,PA24
,SFF,COE,K100
,HRL,PVW,BT36
,BHM,ROA,B737
,BWI,LCK,B737
,SGF,MKC,SR22
,HSH,NOT,P32R
,BCT,TEB,C700
,KNB,PGA,B738
,EWR,IAH,B772
,PHX,WSG,B38M
,ISJ,PDX,B38M
,SUS,LAS,F900
,BNA,FWH,TBM9
,UCY,BHM,C25A
,ATL,MGE,EC30
,OJC,TOP,B407
,WPO,IML,CRJ2
,PHL,ORD,B738
,DWH,TRC,LJ45
,TEX,AMK,C182
,BDL,CTO,CL60
,PJB,LAX,A321
,LWV,OLY,C340
,CLT,PHL,A321
,DAL,FSM,B712
,DOV,PIK,C5M
,WTZ,AKL,CJ6
,WLG,PMR,BK17
,GRU,CWB,E295
,GIG,SAO,EPIC
,EZE,FDO,B738
,MCC,SAC,Unknown
,NNA,MEK,B738
,BEY,ARK,B38M
,SOD,OPS,Unknown
,DUS,CDG,E190
,VCE,FAB,C25A
,CPH,VIE,A320
,TFS,OPO,A20N
,KFZ,PRN,B734
,QLS,BRN,PC12
,MGL,PRG,E55P
,AES,BGO,E190
,MLA,HUY,GLEX
,PJG,YEI,B38M
,TEQ,FRA,A21N
,AMM,ORE,A332
,LIN,NUE,C25A
,SUH,SIF,A20N
,KCO,ESB,A321
,TLV,JMK,B738
,SIN,IKI,B78X
,HKG,HND,B773
,FUO,TSN,A320
,YKH,CNI,A320
,KBR,PEN,A333
,TMW,GUH,BE36
,CCU,HYD,AT76
,CCU,BLR,A21N
,NGO,HND,B788
,RZV,BKK,B77W
,SUH,AUH,B78X
,KUM,KJP,A321
,HLP,SRG,B738
,DPS,SUP,A320
,HLP,CGK,C208
,BGT,MSC,P28A
,MHT,DTW,A306
,SJC,RDU,GLF5
,APF,DSM,Unknown
,AVL,USA,CL60
,DLH,PIR,SF50
,LAS,BZN,CL60
,BRY,WMC,B737
,ORD,UGN,E75L
,EWR,MCO,B763
,HTV,AFW,AA5
