Callsign,Origin,Destination,Aircraft
,SAW,IST,SU95
,MAD,PMI,A320
,RAC,QNV,A333
,FUE,TFN,AT76
,FLN,OZP,A332
,DAT,AIN,B77W
,CDG,BLQ,B738
,PYM,PNN,B789
,DAT,MUC,A359
,LIN,SZG,E55P
,JFK,LAS,B77W
,RHE,BRS,A20N
,VIE,LIN,A320
,XPP,CND,B788
,KRK,WAW,B38M
,KLU,RTM,CL35
,QLS,SIR,EC45
,KUT,ESB,A321
,ANK,GNA,B738
,IST,YEI,A359
,MXP,TUI,A21N
,ANK,TEQ,B38M
,BGY,FEZ,B738
,MXP,KLX,B38M
,LUX,GIG,B748
,SAI,ESB,B789
,ELT,CCE,A20N
,BUS,ICN,B77W
,KWJ,TSJ,B738
,KWJ,ICN,A21N
,KUL,BKI,B738
,LYP,XJM,A320
,MHQ,KGD,A332
,KUT,HKG,B77W
,CAN,HUZ,B738
,TYN,CNI,A320
,TNA,CNI,A320
,CAN,FOC,A333
,TSN,HDG,B738
,LZN,SXT,A20N
,SZX,HUZ,AJ27
,CAN,FOC,A20N
,CFS,ARM,P28R
,BOM,HYD,B752
,AAN,AUH,A21N
,BKK,XJM,A359
,NHD,DXB,AS50
,MNL,FJR,B77W
,TPE,YQV,B744
,SRG,CGK,A320
,ORD,RDU,E75L
,MRY,SMX,P28A
,MSP,LEX,CRJ9
,HSH,HIO,Unknown
,LAL,PHK,B58T
,SJC,TVC,CL60
,ANP,BBD,B737
,JFK,FLL,A21N
,BDF,CVG,E75L
,MMH,CCR,P28B
,RSW,YNG,H25B
,MSP,STL,A321
,ABY,MGE,CRJ7
,NEW,TEB,GLF4
,CSG,PBI,C525
,NEN,MAC,B738
,DAL,PSN,C680
,KNB,HSH,PC12
,SEF,GRB,C56X
,SFO,LUF,E75L
,GYR,BXK,SR20
,CPS,TBN,EC35
,MHR,SCK,P28A
,RSW,CTY,C182
,MLD,LGU,DA40
,GBD,DWH,B58T
,EWR,ACY,B739
,MPJ,SFO,E75L
,NTR,PTK,C650
,RIC,MRY,GLF6
,FTW,TNU,LJ45
,AHN,SAV,A320
,TRM,SBA,C208
,PHL,ALB,E145
,DWH,SAT,P28A
,GYM,PYS,B39M
,LUF,BXK,C172
,OXR,SBA,C172
,RKH,ILM,SF50
,LWC,JCI,C172
,IAH,WWR,B39M
,MIT,NOT,C172
,SDX,RBF,C175
,TPA,LBF,B738
,AVX,TOA,SLG2
,ATL,SGF,B712
,BDR,SDF,C68A
,GCK,LAS,B737
,EYW,MKE,B738
,PNS,AAF,BE35
,COT,DWH,C25C
,RBK,POC,P208
,LBB,WDG,TEX2
,NQI,ALI,Unknown
,YZH,YEG,FA50
,YUL,SUO,C172
,YYC,YHE,DH8D
,CEN,BRY,B737
,YOW,YEG,BCS3
,YWG,YLJ,AJET
,DZO,POA,B738
,PLU,CGH,E195
,AFL,QRZ,B38M
,GRU,CPQ,A21N
,AUN,MHR,Unknown
,JNB,WEL,A320
,OGU,DIA,A359
,WIL,PRY,B738
,MEX,HMO,B738
,MTT,OAX,H25B
,MEX,IZT,A332
,LLY,SMY,B77W
,CDG,OPO,B738
,LPA,OLV,B789
,FRA,YSB,A346
,MUC,YLW,A359
,OTP,LTN,E55P
,LIN,TLS,C56X
,BER,CGN,LJ45
,HAM,XFW,EC45
,BBS,BEX,C152
,MFM,SZB,B737
,TEQ,GVA,C25M
,VBS,BER,C510
,SYD,DGE,A333
,TIA,INI,A321
,NCE,AMS,B737
,LPI,AMS,E190
,TDX,LUZ,B788
,WAW,CND,B38M
,RZE,DUB,B763
,NHT,FRA,CL35
,LTN,FRA,C56X
,LLA,SFT,EC45
,OSL,TOS,B738
,ANK,BUS,A321
,OSR,ISL,B738
,SAW,ELT,B38M
,NUE,STN,B738
,BND,SYJ,A20N
,LUX,LAX,B748
,BEM,PRG,A320
,XSP,FJR,GL7T
,AOY,MCT,B38M
,TNE,ICN,B789
,PUS,CHF,B739
,BXJ,ICN,B77W
,HMY,ICN,B738
,ICN,NGO,A21N
,LGG,ALA,B744
,TNJ,MNL,A21N
,SIN,TNJ,A359
,DAT,PEK,A320
,FUO,HKG,B738
,PEK,HUZ,B738
,CAN,FOC,A321
,TYN,ZUH,B738
,PHY,ZBY,A21N
,PEK,CNI,A21N
,PEK,PKX,B744
,WTB,BNE,C182
,COK,VDY,P180
,CDG,DEL,B789
,ISK,DEL,A21N
,SHM,HND,B763
,KMI,NKM,B789
,BKK,LYP,A359
,LXV,MWL,M20P
,SAQ,TMB,F2TH
,PVW,MSY,A321
,CTW,AVW,P28R
,ENV,SLC,SF50
,DAB,PIE,SR22
,MQY,GRB,C172
,APA,YQG,TBM9
,BYI,WMC,B739
,AHN,CAE,E50P
,MMU,MIC,PC12
,HMT,SBD,C172
,LIC,MSP,A321
,MLD,BMC,DA40
,ORD,MSP,A320
,KLS,HIO,C172
,ECP,RVS,C25A
,OZA,SJT,E75L
,CTW,VLE,BEAR
,BFP,BTP,EC35
,HLI,RHV,BE35
,TCL,ATL,BE40
,WTD,FLL,E550
,IAH,TPA,B739
,ATO,DTW,A320
,ORF,CLT,A320
,PSP,ADT,B739
,HNL,ELY,GLF4
,CDD,OPF,F2TH
,SBD,CCB,C172
,DKK,HPN,C700
,LAX,MSY,B39M
,APA,TUS,PC12
,OXR,FUL,C172
,TUS,OGD,C56X
,VSA,SLC,C56X
,BUB,RAC,B39M
,BOS,RIC,E170
,CEB,TAG,C208
,MEO,ECG,AA5
,SJU,STT,PC12
,MHR,SMF,C25A
,JFK,JDF,B788
,GWS,VNY,CL60
,PMH,IAD,A319
,LAL,BQK,BE58
,CUB,CHS,B407
,CLG,SMO,T206
,PHP,SFO,A321
,TPH,SGR,C68A
,AFW,RND,P06T
,RBD,ALI,BE23
,ILM,ISO,GLF5
,BOL,QZD,C17
,MRO,WLG,SSTL
,TIU,CHC,KTOO
,AMZ,GTN,Unknown
,GRU,PLU,B738
,BJP,SAO,C510
,PLU,AQA,BE36
,ROO,SJK,A321
,UBA,JDF,B38M
,SCL,CWB,A21N
,BXK,GYR,Unknown
,WEA,GLE,Unknown
,MCF,TPF,Unknown
,SKV,CAI,A20N
,DIA,NBO,A359
,TIJ,TLC,A21N
,SVO,BND,A20N
,SMW,MAD,A321
,DCI,MXP,B738
,CDG,MIA,B77W
,CDG,BUD,B738
,RMI,BQN,A359
,ORY,ANR,B738
,JNB,JKH,A359
,QUG,ESH,EC20
,BNA,HNC,E170
,VIE,CPH,A320
,TNF,BCM,TBM7
,VLC,OSL,CL35
,AMS,HUY,E190
,VCE,ZRH,BCS3
,TEQ,IST,A21N
,YEI,ISL,B738
,CAG,VCE,B738
,FCO,OLB,B734
,BXJ,ALA,A320
,LUX,NLU,B748
,FOG,MXP,A21N
,LSZ,NUE,A320
,BUS,ZRH,A320
,CDP,TIR,B38M
,ICN,CND,B789
,KWJ,MWX,B763
,LAS,ICN,B77W
,KIX,NRT,A321
,AYN,PKX,B789
,MFM,SZX,B738
,MFM,BKK,A320
,HDG,AYN,A321
,DDG,TYN,A20N
,FUJ,HUZ,A21N
,SHQ,OOL,C172
,CNS,LUT,C206
,KBZ,ZQN,A320
,BOM,NMB,A139
,BOM,DEL,A20N
,PNQ,BOM,GL5T
,JAI,DEL,B38M
,IZO,NGO,A20N
,KIX,FUK,A320
,ICN,BKK,A359
,PEN,BKK,A320
,AUH,YPN,A388
,TPE,CYT,B744
,SUB,BDO,A320
,MEL,HNM,GLEX
